['410617865'],['WOS.SCI'],['2011-01-01T00:00:00Z'],"['chemistry, multidisciplinary']",['Article'],['1359-7345'],"['Chuang, Min-Chieh', 'Windmiller, Joshua Ray', 'Santhosh, Padmanabhan', 'Ramirez, Gabriela Valdes', 'Katz, Evgeny', 'Wang, Joseph']",['CHEM COMMUN'],['ROYAL SOC CHEMISTRY'],"['336584262', '292447107', '273988558', '337490524', '267229629', '337657655', '326920735', '338535737']"
['416726679'],['WOS.SCI'],['2011-07-01T00:00:00Z'],['technology'],['Article'],['1756-4646'],"['Higashiyama, Akiko', 'Htay, Hla Hla', 'Ozeki, Makoto', 'Juneja, Lekh R.', 'Kapoor, Mahendra P.']",['J FUNCT FOODS'],['ELSEVIER SCIENCE BV'],"['83802972', '84637870', '262179477', '292671862', '262306881', '85019832', '89571406', '260866732', '86579899', '261553889', '79717500', '94227049']"
['423707020'],['WOS.SCI'],['2011-06-01T00:00:00Z'],['tropical medicine'],['Article'],['0120-4157'],"['Figueroa-Valverde, Lauro', 'Diaz-Cedillo, Francisco', 'Lopez-Ramos, Maria', 'Garcia-Cervera, Elodia', 'Quijano-Ascencio, Karen']",['BIOMEDICA'],['INST NACIONAL SALUD'],"['256057585', '288583904', '413512283']"
['410644487'],['WOS.SCI'],['2011-03-01T00:00:00Z'],['biochemical research methods'],['Article'],['1754-2189'],"['Wittkop, Tobias', 'Emig, Dorothea', 'Truss, Anke', 'Albrecht, Mario', 'Boecker, Sebastian', 'Baumbach, Jan']",['NAT PROTOC'],['NATURE PUBLISHING GROUP'],['314266570']
['413824739'],['WOS.SCI'],['2011-01-01T00:00:00Z'],['films'],['Article'],['0013-4651'],"['Chatzichristodoulou, C.', 'Sogaard, M.', 'Hendriksen, P. V.']",['J ELECTROCHEM SOC'],['ELECTROCHEMICAL SOC INC'],"['413824738', '267963270', '89049271', '88868167']"
['351397595'],['WOS.SCI'],['2011-02-01T00:00:00Z'],['toxicology'],['Article'],['0887-2333'],"['Edmund, Anton R.', 'Kambalapally, Swetha', 'Wilson, Thomas A.', 'Nicolosi, Robert J.']",['TOXICOL IN VITRO'],['PERGAMON-ELSEVIER SCIENCE LTD'],"['262101736', '266193439', '267585981', '292987758', '276624641', '89575390', '260540881', '292578559', '88663788']"
['419181568'],['WOS.SCI'],['2011-08-01T00:00:00Z'],['nephrology'],['Article'],['0022-5347'],"['Franks, Kevin N.', 'Kancherla, Kiran', 'Sethugavalar, Brinda', 'Whelan, Peter', 'Eardley, Ian', 'Kiltie, Anne E.']",['J UROLOGY'],['ELSEVIER SCIENCE INC'],"['317465498', '337086537', '261427665', '337962127', '261752637', '87153448', '293979876', '261253669', '89814165']"
['425898889'],['WOS.SCI'],['2011-12-22T00:00:00Z'],['chemical'],['Article'],['1089-5639'],"['Daly, Adam M.', 'Mitchell, Erik G.', 'Sanchez, Daniel A.', 'Block, Eric', 'Kukolich, Stephen G.']",['J PHYS CHEM A'],['AMER CHEMICAL SOC'],"['424125376', '266056576', '90217856']"
['423463141'],"['WOS.SCI', 'WOS.SSCI']",['2011-11-01T00:00:00Z'],"['occupational health, ssci']",['Editorial'],['1044-3983'],"['Lindstroem, Sara', 'Kraft, Peter']",['EPIDEMIOLOGY'],['WILKINS'],"['421301787', '85390468', '415475234', '423463148', '412811126', '409708011', '319279674']"
['421818772'],['WOS.SCI'],['2011-07-01T00:00:00Z'],['remote sensing'],['Article'],['2072-4292'],"['Arefi, Hossein', 'Reinartz, Peter']",['REMOTE SENS-BASEL'],['MDPI AG'],"['292768553', '274764809']"
